,airline,polary,LegRoomScore,SeatComfort,InFlightEntertainment,CustomerService,ValueMoney,Cleanliness,CheckIn,FoodBeverage
0,AirChina,pos,1351,1416,1631,1267,1080,873,975,1238
1,AirChina,neg,986,932,671,1096,1221,1019,922,646
2,AirChina,null,45,34,80,19,81,490,485,498
3,ChinaEasternAirlines,pos,1367,1436,1595,1376,1121,883,1039,1311
4,ChinaEasternAirlines,neg,1049,988,760,1065,1260,1051,904,606
5,ChinaEasternAirlines,null,53,45,114,28,88,535,526,552
6,AirFrance,pos,4306,4558,4208,3683,4389,2470,3077,3484
7,AirFrance,neg,4640,4406,4256,5352,4448,5159,4589,4096
8,AirFrance,null,210,192,692,121,319,1527,1490,1576
9,Lufthansa,pos,5819,6019,5978,4782,6075,2885,4066,5231
10,Lufthansa,neg,8281,8130,6975,9587,7920,9358,8311,6941
11,Lufthansa,null,457,408,1604,188,562,2314,2180,2385
12,DeltaAirlines,pos,17737,17181,13145,10083,16097,9366,8959,16617
13,DeltaAirlines,neg,23730,24317,25997,31598,24842,27706,28257,19827
14,DeltaAirlines,null,695,664,3020,481,1223,5090,4946,5718
15,AmericanAirlines,pos,27513,27719,26744,22537,28055,17581,17707,27208
16,AmericanAirlines,neg,20304,20179,17141,25814,19405,24740,24928,14177
17,AmericanAirlines,null,1261,1180,5193,727,1618,6757,6443,7693
